//女
比嘉 ひかり=比嘉 光
ひかり=光
ひかり 比嘉 =光 比嘉
春野 千佳=春野 千佳
和泉 里穂=和泉 里穗
来栖 捺月=来栖 捺月
野口 葉月=野口 叶月
本間 幸恵=本间 幸惠
堀北 一瑠=堀北 一瑠
峰 鈴音=峰 铃音
百瀬 妃奈乃=百濑妃奈乃
尾上 有紗=尾上 有纱
飯田 佐奈=饭田 佐奈
白峰 一乃=白峰 一乃
梅田 優里=梅田 优里
日高 恵理子=日高 惠理子
渡辺 汐里=渡边 汐里
坪田 音々=坪田 音音
椎名 紅葉=椎名 红叶
滝川 かれん=泷川 可怜
大鳥 由菜=大鸟 由菜
相原 麗奈=相原 丽奈
船橋 由菜=船桥 由菜
神崎 杏理=神崎 杏理
新垣 凛花=新垣 凛花
春日 陽花=春日 阳花
寺内 恵美=寺内 惠美
寺西 菫=寺西 堇
山本 舞香=山本 舞香
三枝 葵=三枝 葵
高津 珠美=高津 珠美
高瀬 一花=高濑 一花
高岡 結香=高冈 结香
熊倉 裕子=熊仓 裕子
玉城 優=玉城 优
花園 詩織=花园 诗织
河野 珠子=河野 珠子
横井 柚葉=横井 柚叶
奥田 実咲=奥田 实咲
臼井 義美=臼井 义美
卯月 かなめ=卯月 要
羽田 絵里=羽田 绘里
磯部 沙菜=矶部 沙菜
伊丹 里沙=伊丹 里沙
神渡 クリスタ=神渡 克里斯塔
笠原 望夢=笠原 望梦


//男
近藤 拓磨=近藤 拓磨
北条 ロイ=北条 罗伊
柏木 壮亮=柏木 壮亮


